,Тип,Назначение,Материал,Мотор,Частота переключения,Рабочее напряжение,Шаг регулировки,Ёмкость аккумулятора,Время подзарядки,Время работы,Разъем для зарядки,Ход толкателя,Ход иглы,Длина,Диаметр,Вес,Гарантия,Производитель,Название,Цена,Ссылка,Фотография,Модель,Вольтаж,Ход толкателя (Stroke),Вылет иглы,Время зарядки,Тип аккумулятора,Память,Функция Jump-start,Таймер,Дисплей,Выходное напряжение,Шаг регулировки вольтажа,Емкость аккумулятора,Jump Start,Разъём для подключения,Размер,Производcтво,Назначение машинки,Обороты в минуту,Разъём для зарядки,Размеры с аккумулятором,Размеры с RCA переходником,Производство,Двигатель,Скорость,Рекомендуемое напряжение,Время работы на одном аккумуляторе,Размер машинки без аккумулятора,Размер машинки с аккумулятором,Вес без аккумулятора,Вес с аккумулятором,Частота,SMP,Вес машинки,Вес коробки,Размеры коробки,Подключение,Размеры,Цвет,Ход толкателя регулируемый,Bluetooth,Рабочий вольтаж,Длина хода,Вес батареи,Цвет машинки,Особенность,Jump-Start,Разъем для подключения,Высота,Разъём,Ход бойка,Материал рамы,Ход толкателя (Strokes),Назначения,Рабочая частота удара,Обороты,Диаметр x Длинна,Диаметр x Длина,Соединение,Разъем,Емкость,Модель машины,Потребляемая мощность,Диаметр держателей,Размер коробки,Ход поршня,Рабочая частота,Диаметр держателя,Ход толкателя (Strokes) регулируемый,Диаметр ручки,Длина ручки,Для контурных работ,Для закраса/теней,Крутящий момент,Время полной зарядки,Длина машинки,Размер кейса,Вес кейса,Номинальный крутящий момент,Стартовое напряжение по умолчанию,Количество уровней регулировки вольтажа,Ёмкость аккумуляторов,Вес машинки с батареей,Батареи,Частота удара,Длина машинки с RCA адаптером,Вес машинки с RCA адаптером,Регулировка вольтажа с шагом,Время работы на 1 батарейке,Вес с батарейкой,Время работы на 1 аккумуляторе,Длинна,Строк,Корпус,Покрытие рамы,Модель машинки,Вход для зарядки,Тип батареи,Номинальная емкость аккумулятора,Вес без батарейки,Мощность мотора,"Спроектировано в США.

В комплекте",Система привода,Вылет иглы в зависимости от картриджей,Размер машинки,Регулировка с шагом,Значение в децибелах,Значение вибрации,Размер двигателя,Мощность двигателя,Длина хода (Strokes),Система двойного управления,Ход толкателя Strokes регулируемый,Мощность,Экран,Время работы на аккумуляторе,Регулируемый ход толкателя,Вес вместе с коробкой,Держатели,Привод,Емкость батареек,Тип батарейки,Размер батарейки,Диаметр машинки,Вес машинки с батарейкой,Батарея,Емкость АКБ,Держатель,Ход толкателя регулируемый Strokes,Частота вращения,Макс обороты,Ход толкателя регулируемый (Stroke),Емкость блока питания,Jump-start,Длина с блоком,Длина с RCA,Вес машинки с блоком,Вес машинки с RCA,Напряжение зарядки,Ход толкателя (Stroke) регулируемый,Вес без батарейкой,Уникальность,Ход толкателя регулируемый (Strokes),Мощность Двигателя,Ход толкателя Strokes,Время зарядки от разъема,АКБ,Вес с кейсом,Рама,- Модель,Вес машинки без батарейки,Вес машинки батарейкой,Габариты коробки,Частотный режим,Точечный режим,Вес с держателем 32мм,Вес с держателем 40мм,Xод иглы,Пусковое напряжение,Размер машинки с RCA адаптером,Вес с RCA адаптером,Для контура,Для закраса,Xод толкателя,Разъём подключения,Ход,Рекомендованный рабочий вольтаж,Память режимов,Ход толкателя (строк),Ёмкость аккумуляторов машинки,Ёмкость аккумулятора педали,Время работы максимум (при 5В),Время работы минимум (при 11В),Длина машины вместе с аккумулятором,Особенности,Диапазон игл,Рекомендуемый вольтаж,Размеры машинки,Длина с RCA переходником,Вес с блоком,Вес с RCA переходником,Диаметр в нижней части,Диаметр в верхней части,Длина машинки с блоком,Ход толкателя Stroke,Входное напряжение,Режим зарядки,Цикл полной зарядки,Частота вращения двигателя,Напряжение батареи,Вес с аккумулятором,Об/мин,Частота переключателя,Шаг регулировки переключаемый,"минимальная вибрация.

Основные особенности",Шаг,Регулируемый ход игл,Короткий ход,Выходная мощность,Общее время работы,Длина (без картриджа),Диаметр корпуса,Вес (без держателя),Вес с держателем (PMU),Разъем для зарядки,Регулировка частоты ударов,Ёмкость аккумулятора машинки,Ход толкатея,Габариты,Вес машинки с аккумулятором,Ёмкость съёмных аккумуляторов по,Длинна с аккумулятором,Длинна с разъёмом RCA,Диаметр в нижней части ручки,Вес с разъёмом RCA,Размер коробкм,Длинна с переходником RCA,Длина с переходником RCA,Длина с аккумулятором,Вес машинки с держателем,Сменные эксцентрики с ходом,Moтор,Об / мин,Выступ иглы,Емкость батареи,Рабочее время Powerpack,Гарантия на блок питания,В комплекте,Вывод,Размеры (Ø х L),Время заряда батареи,Вес (с блоком питания),Время работы блока питания,Ручка,Она универсальна,К машинке подойдут держатели,Тип подключения,Рекомендуемое рабочее напряжение,Максимальное напряжение,Вес всего комплекта,Частота Переключения,Кол-во оборотов,Размеры (Ø X L),Время работы Powerpack,Размеры(Ø X L),Тип машинки,"Длина хода, мм","Диаметр, мм","Размер, мм","Мощность двигателя, В",Оборотов в минуту,"Децибелы, дБ","Величина вибрации, м/с²","Рабочий вольтаж, В","Регулировка вольтажа, В","Емкость аккумулятора, мАч","Время работы, часов","Время зарядки, часов","Вес, г","Вес с аккумулятором, г",Питание,Провод для зарядки в комплекте,RCA переходник,"Частота переключения, Гц","Регулировка хода иглы, мм",Процент зарядки,Показание вольтажа,Сетевой шнур в комплекте,"Сила тока, А",Времени работы,Комплектация,Функция памяти,Start UP,"Рекомендуемый вольтаж, В",Авто выключение,Push Mode,"Мощность, В","Напряжение зарядки, В",source
329,,Универсальная,Алюминий,Япония 9V-12000 об/мин,,5-12 V,,1900 mA/ч,2 часа,до 6 часов,,,,,32 мм,210 г,,,Беспроводная роторная тату машинка - Pen Dragon Flux HM-630,6990,https://tatu-shop.ru/products/flux-hm-630,https://i.siteapi.org/k2gWuqsr64G6oMPZvPXq8VNZQcY=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/nmofyx585i8kk0ss00cg8cssss4wk4,Dragon Flux HM-630,,,"от 0 до 4,5 мм",,,,,,,,"0,5 V",,,,,,,,,,,Solong Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,от 60 до 160 Гц,,,,,,,,,,,,,,,,,,,,,,,,,150 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
330,,,Алюминий,Японский мотор,,,,1800mA/ч,2 часа,до 6 часов,,,,141 мм,32 мм,186 г,6 месяцев,DragonHawk,Беспроводная тату машинка - Pen Dragonhawk Armor Wireless Rotary pink,13380,https://tatu-shop.ru/products/armor-wireless-rotary-pink,https://i.siteapi.org/QzlRf_xtcLSu7rJk4B8d4mhAMTw=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/f0su2bds55sg8o88wkwo0o88s8wgs8,,5-12V,,от 0 до 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,USB Type—C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
331,Беспроводная роторная машинка,Универсальная,Авиационный алюминий,Бесколлекторный двигатель 5,,,,,,до 10 часов,,4,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",133 мм,,,,,"Беспроводная тату машинка Skinner Innovation PRO 2.0 Stroke 4,5mm Black Matte",25000,https://tatu-shop.ru/products/skinner-pro-v2-4-5-black-matte,https://i.siteapi.org/7NgmgjnSDZOMhT3k4dunKMS2oM0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/3sw39t19f3acccog08w08w84swgogo,Skinner Innovation PRO 2,5-13V,,,,,,,,OLED,,,,,,,,,,,,,Skinner Tattoo,,,,,,,,,,,200 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Типоразмер 18500 с повышенным пусковым током,2000 мАч,32 мм совместим с Cheyenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
332,Роторная беспроводная,Универсальная,авиационный алюминий,DC-motor Swiss Motor - Швейцарский двигатель,,,"0,1V",2000 mA/ч,"2-2,5 часа",до 9 часов,,,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",144 мм,35 мм,245 г,6 месяцев,Big Wasp - Hummingbird,Беспроводная тату машинка Big Wasp Meteorix PRO Adjustable Wireless Pen Grey,12690,https://tatu-shop.ru/products/meteorix-pro-grey,https://i.siteapi.org/3tNQxMVJ3a2ujm1TpxhQZ7MPOAg=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ipw526irt68skgkswggwck48cw0w08,,5-11 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,от 2,,,,,,,,,,,,,,,,,,,,,,Big Wasp Meteorix PRO Adjustable Wireless Pen,,,,,,,,,,,,"6,18Нм",,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
333,беспроводная роторная машинка,Универсальная,Авиационный алюминий,,,,"0,1V",,,до 7 часов,,3,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",175 мм,"33,5 мм",,,,"Беспроводная тату машинка Cobra Morandi 3,5 Stroke White",9990,https://tatu-shop.ru/products/machine-cobra-morandi-white,https://i.siteapi.org/cwybiO_pdu5voA7c-aDiMDzaaDM=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/4rj7rl4rl72840wscsswcwok0cwgoo,Cobra Morandi,"4,7-13V",,,,,,Да,,Цветной OLED экран,,,,,,,,,,,,,Cobra Tattoo,Без сердечника Coreless motor  / 12000 оборотов,,,,,,,,,,,320 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Типоразмер 18500 с повышенным пусковым током,1800 мАч,,,,,,,,,,,,,,,,,,,,,,,,175 гр,210 гр,170x130x80 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
334,Беспроводная роторная,Универсальная,Авиационный алюминий с защитным покрытием,DC Swiss Motor - 11000 об/мин,,,"0,1V",1620 mA/ч,,до 7 часов,USB Type—C,,,111 мм,34 мм,166 г,6 месяцев,Hummingbird BRONC,Беспроводная тату машинка BRONC SHORT-X Wireless Pen Army Green,10580,https://tatu-shop.ru/products/short-x-army-green,https://i.siteapi.org/UE-VF6sBHWm4K7IkPhZ6uSZoh28=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/my1063zveu8kskw0g0owk8so08wck0,BRONC SHORT-X,4-12 V,4,"от 0 до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",2 часа,полимерно-литиевый,2 режима (Liner и Shader),да,Да,OLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
335,Роторная беспроводная,Перманентного макияжа и мини тату,авиационный алюминий,Coreless Motor 12V/10000 об/мин,,,"0,1V",,1 час,3 часа,USB Type—C,,,126 мм,26 мм,,6 месяцев,DragonHawk,Беспроводная тату машинка Dragonhawk Atom2 Stroke 2.8mm X 2Power Gold,10390,https://tatu-shop.ru/products/atom2-2-power-gold,https://i.siteapi.org/UnFkRdI0XgpMSVwH9bWqOCDESOk=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/4vmn5pb1e0e8oos0kkkw4sgsksossw,Dragonhawk Atom 2,2-12V,2,"0-4,0 мм",,полимерно-литиевый,5 режимом памяти,,Да,Цветной OLED,,,800 mA/ч,,,,,,,,,,,,2,,,,,,,,,,400 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165 x 130 x 40 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98 гр,,,,,,,,,,,,,,,,,,,111 гр,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
336,Роторная,Универсальная,авиационный алюминий,Япония,,4 - 10 V 11000 об/мин,,,,,,3,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,,96 г,6 месяцев,,Роторная тату машинка AVA GT Mini Black,5860,https://tatu-shop.ru/products/ava-mini-black,https://i.siteapi.org/QZ3m7fN934rQceJFRKBZSykgGY0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/dn80lho2v08wcg4co4oo4g4ws040g4,,,,,,,,,,,,,,,,,AVA TATTOO MACHINE,,,,,,,,,,,,,,,,,,,,разъем RCA,22 x 113 мм,Чёрный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
337,ПЭН,Универсальная,,Тайвань,,,,,,,,,"до 4,5 мм (регулировка вылета осуществляется выкручиванием держателя)",,32 мм,110 г,,,Роторная тату машинка Dragon Small-x3 pink,1945,https://tatu-shop.ru/products/small-x3--pink,https://i.siteapi.org/NE6-sIgLI1vwSagXQEUBZTKaDe4=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/j3uhdag1krccgs4csswwo88w44ss4k,Dragon Small-x3,,,,,,,,,,,,,,,,,,,,,,Yilong Tattoo Supply,,,,,,,,,,,,,,,,,,,5-9 V,,,,,,,86 мм,DC,3,Авиационный алюминий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
338,Роторная беспроводная,,Авиационный алюминий,Brush Coreless Motor 12V/11000 об,,,"0,1V",1800 mA/ч,2 часа,до 8 часов,,"3,5 мм",,136 мм,24 мм,142 г,,Yilong Tattoo,Беспроводная тату машинка Yilong Y15 Battery Tattoo Pen Green,6990,https://tatu-shop.ru/products/yilong-y-15-green,https://i.siteapi.org/pZEIOGWdZm63IUFhsuY4C8g6H54=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/8mu58lqfuzggwo88s0kgs048cg8kc0,Yilong Y15,4-12V,,0-4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
339,ПЭН,Универсальная,,Тайвань - 10V 11000rpm,,,,,,,,,"до 4,5 мм",,,140 г,,,"Роторная тату машинка Pen Rocket II version-1, black",3450,https://tatu-shop.ru/products/pen-rocket-ii-version-1,https://i.siteapi.org/0HEa6HiN3jV5BIyKZaQECNMPt70=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/fom5mgox2og8kccokkk4k88g0o8k8w,,,,,,,,,,,,,,,,,,,,,,,Rocket Tattoo,,,,,,,,,,,,,,,118мм Х 27мм,,,,7-10 V,,,,,,,,RCA,,Авиационный алюминий,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
340,,Универсальная,Авиационной алюминий,Swiss motor - Швейцарский двигатель 11000 об/мин,,4V-12V,,1800 mA/ч,2 часа,до 7 часов,USB Type—C,3,,144 мм,28 мм,175 г,6 месяцев,Hummingbird BRONC,Беспроводная роторная тату машинка Bronc Seraphic Wireless Pen For PMU & Tattoo Grey,12990,https://tatu-shop.ru/products/seraphic-grey,https://i.siteapi.org/1miyb-8CBiIfNhu175NZfRSqmPg=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/ibgenwkcof4gwgkg8wcc0w80swwc4o,Bronc Seraphic Wireless Pen For PMU & Tattoo,4-12 V,,от 0 до 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,18Нм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
341,,,,,,,,,,,,,,,,,,,Роторная тату машинка EZ P4 Mini Gray,7990,https://tatu-shop.ru/products/ezp4-mini-gray,https://i.siteapi.org/8qP6dnbl8AVb3ajIr59ht3OSQ9o=/fit-in/1024x768/center/top/a6596905b2ff451.ru.s.siteapi.org/img/g1jmrmi2voook8kc4sok8wok0sggk4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P4 Mini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
342,Роторная беспроводная,,Авиационный алюминий с защитным покрытием,Швейцарский двигатель мощностью 6W,,,"0,1V",2000 mA/ч,2 часа,,,,,145 мм,33 мм,229 г,6 месяцев,Hummingbird BRONC,Беспроводная тату машинка BRONC Bullet Wireless Pen Black,12760,https://tatu-shop.ru/products/bronc-bullet--black,https://i.siteapi.org/eoRXAJmqVU11veB4jrD0mwiUPno=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/5f0et26dol8go400k0kkgscsgococg,BRONC Bullet,5-11 V,,"от 0 до 4,5 мм",,,,,,,,,,,,,,Универсальная,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,около 5 часов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11V - 11000 об/мин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
343,Роторная беспроводная,,авиационный алюминий,Coreless Motor,60-160 Гц,6 - 9 V,"0,1V",1500 mA/ч,2 часа,,,,,,,200 г,6 месяцев,,Беспроводная тату машинка EZ Filter Freedom X 2 Power Silver,6660,https://tatu-shop.ru/products/tattoo-ez-filter-freedom-2power-silver,https://i.siteapi.org/PpQbIQBMTWspbuSMCCV0u6UyuUo=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/qzdtigu223kggo8osoogocksogc4s8,EZ Filter Freedom,5-12V,,"от 0 до 4,5 мм",,,,,,,,,,,,,,Универсальная,,USB Type—C,,,EZ Tattoo,,,,,,,,,,,,,,,32 х 145 мм,,,,,,,,,,,,,,,"3,5 мм",,,12 V/10000 об/мин,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 часов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
344,Беспроводная роторная,Универсальная,Авиационный алюминий,Швейцарский двигатель 7Вт,,,,2100 mA/ч,2-3 часа,до 10 часов,USB Type—C,"шесть вариантов 2,6 мм, 2,9 мм, 3,2 мм, 3,5 мм, 3,8 мм, 4,0 мм",,135 мм,32 мм,235 г,6 месяцев,Hummingbird BRONC,Беспроводная тату машинка BRONC V12 MAX Adjustable Wireless Pen 6 Stroke Grey,14990,https://tatu-shop.ru/products/bronc-v12-grey,https://i.siteapi.org/pnEoV621-7HV81N7twCFElyj4gM=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/1en35qbcm4zoo088kww8skc440coow,BRONC V12 MAX,4-12 V,,"от 0 до 4,5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
345,Роторная беспроводная,для татуажи и мини тату,авиационный алюминий,AVA motor - 9000 об/мин,,,"при коротком нажатии 0,1V при длительном нажатии 1V",700 мАч,,3-7 часов,,,"до 3,5 мм (регулировка вылета осуществляется выкручиванием держателя)",145 мм,,,6 месяцев,,Беспроводная машинка для татуажа AVA Soulnova Flora E5 PMU Stroke 2.0-3.2mm Purple,15380,https://tatu-shop.ru/products/soulnova-flora-e5-purple,https://i.siteapi.org/sOq_lD6pbdOkE5bXzCdEbeXX03Y=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/qklp82x9u5wc4gg0w00kcg4ogoo4c0,,"4,5-12 V",,,2 часа,,,,,Цветной OLED экран,,,,,,,AVA TATTOO MACHINE,,,,,,,,,,,,,,,,,111 г,413 г,,,,,от 2,,,,,,,,,,,,,,,,,,,,,,AVA Soulnova Flora E5 PMU,5W,20 мм,185 x 155 x 70 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
346,,Универсальная,Авиационный алюминий,DC-motor Swiss Motor - Швейцарский двигатель,,"5,5-7,5 V",,2000 mA/ч,"2-2,5 часа",от 7 до 9 часов,,,,147 мм,32 мм,239 г,6 месяцев,Hummingbird BRONC,Беспроводная роторная тату машинка BRONC Conductor RTM-111 Wireless Pen Black,10720,https://tatu-shop.ru/products/rtm-111-black,https://i.siteapi.org/qqxI2O4dbAnDH50Hd57twjHQy40=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/6bt6n75jyqcck8c0os40gsw04w0kkg,BRONC Conductor RTM-111 Wireless Pen,5-11 V,3,от 0 до 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tatu-shop
